#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
539,Sawk,Fighting,,465,75,125,75,30,75,85,5,FALSE
540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,FALSE
541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,FALSE
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,FALSE
543,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,FALSE
544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,FALSE
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,FALSE
546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,FALSE
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,FALSE
548,Petilil,Grass,,280,45,35,50,70,50,30,5,FALSE
549,Lilligant,Grass,,480,70,60,75,110,75,90,5,FALSE
550,Basculin,Water,,460,70,92,65,80,55,98,5,FALSE
551,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,FALSE
552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,FALSE
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,FALSE
554,Darumaka,Fire,,315,70,90,45,15,45,50,5,FALSE
555,DarmanitanStandard Mode,Fire,,480,105,140,55,30,55,95,5,FALSE
555,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,FALSE
556,Maractus,Grass,,461,75,86,67,106,67,60,5,FALSE
557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,FALSE
558,Crustle,Bug,Rock,475,70,95,125,65,75,45,5,FALSE
559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,FALSE
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,FALSE
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,FALSE
562,Yamask,Ghost,,303,38,30,85,55,65,30,5,FALSE
563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,FALSE
564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,FALSE
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,FALSE
566,Archen,Rock,Flying,401,55,112,45,74,45,70,5,FALSE
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,FALSE
568,Trubbish,Poison,,329,50,50,62,40,62,65,5,FALSE
569,Garbodor,Poison,,474,80,95,82,60,82,75,5,FALSE
570,Zorua,Dark,,330,40,65,40,80,40,65,5,FALSE
571,Zoroark,Dark,,510,60,105,60,120,60,105,5,FALSE
572,Minccino,Normal,,300,55,50,40,40,40,75,5,FALSE
573,Cinccino,Normal,,470,75,95,60,65,60,115,5,FALSE
574,Gothita,Psychic,,290,45,30,50,55,65,45,5,FALSE
575,Gothorita,Psychic,,390,60,45,70,75,85,55,5,FALSE
576,Gothitelle,Psychic,,490,70,55,95,95,110,65,5,FALSE
577,Solosis,Psychic,,290,45,30,40,105,50,20,5,FALSE
578,Duosion,Psychic,,370,65,40,50,125,60,30,5,FALSE
579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,FALSE
580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,FALSE
581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,FALSE
